Unique ID,Name,Title,Company,Description,Tag,TagQID,FacetOf,FacetOfQID,Slides URL,Video URL
,Trey Botard,Bringing Time and Truth to Semantic Data,,"Semantic systems provide tremendous opportunities to interoperate our data, facilitate shared vocabularies, and power enterprise knowledge graphs, but these increasingly distributed data ecosystems also introduce new instabilities and concerns. What happens when data we rely on is changing in unexpected ways; how do we build trust around open-access data sources; what happens if a dataset suffers a catastrophic update that disrupts the entire data system it participates in? For data to participate in increasingly expansive and accessible semantic networks, it needs to be empowered with additional traceability, security, and trust. In this presentation, Trey will show how Fluree's platform works to do just that, by building its semantic graph database on top of an immutable ledger backplane that introduces a sense of truth and time to semantic data. This talk will look at how queries drastically improve when they become temporal; how a ledger backplane introduces time-traveling data; and how trust in data expands when data can reproduce its own lineage or prove the identity of the individual or machine who transacted it. The goal of the talk is to demonstrate that additional security and trust is not only a prerequisite for more expansive & interoperable data, but also a guarantee of richer, more powerful data that extends the reach of semantics into the fourth dimension.","Data Update, Data Change, Traceability, Security, Trust, Immutable Ledger, Time Travel, Semantics",,,,,
,Veronika Heimsbakk,Validating Semantic Knowledge Graphs using SHACL ,Capgemini,"Prior to the Shape Constraint Language (SHACL) we had no W3C standardization for validating our semantic knowledge graphs against a set of constraints. By constraining RDF using SHACL we gain the possibility of exactly this – validating semantic knowledge graphs under a closed-world assumption! This masterclass will introduce you to the SHACL Core constraints, demonstrate how to constrain your data and what happens if the data conforms false (or true for that matter!)",,,,,,
,Veronika Heimsbakk,Tales from the Road of Text to Knowledge,Capgemini,"When transforming amounts of plain text into semantic knowledge graphs using Resource Description Framework, a service for automatic interpretation became apparent. Manual interpretation of text depends on human domain knowledge and discovery of entities and relationships in the text. This process is a highly time-consuming activity with a risk of misinterpretation. Based on the hypothesis that using Natural Language Processing techniques we can extract information and meaning from text faster than a human being, we successfully implemented a service for automatic metadata and ontology generation for a client in Norwegian public sector. This presentation will walk you through our hypothesis, the steps from text to RDF through Natural Language Processing, and our results.","Tranform, Plain Text, Semantic KG, RDF, Automatic Interpretation, NLP, Extract Information, Automatic, Metadata, Ontology Generation",,,,,
,Victor de Boer,Knowledge Graphs for Social Good,,,,,,,,
,Vinay Chaudhri,An Introduction to Knowledge Graphs,,"Knowledge graphs have emerged as a compelling abstraction for organizing the world’s knowledge over the internet, capturing relationships among key entities of interest to enterprises, and a way to integrate information extracted from multiple data sources. Construction and maintenance of large-scale knowledge graphs requires leveraging knowledge representation, machine learning, and natural language processing. In addition, for applications that use machine learning, natural language processing and computer vision, knowledge graphs are being increasingly used as a knowledge representation for capturing and tracking the learned knowledge. Most major AI/NLP/Vision conferences attract a significant number of research papers that leverage knowledge graphs. While several knowledge graphs have been built and deployed in the industry today, their creation and successful maintenance requires addressing numerous challenges.",,,,,,
,Vinod Surendran,,,,,,,,,
,Violeta Ilik,,,,,,,,,
,Vivek Khetan,Knowledge Graphs for Social Good,,"This workshop establishes a bridge for researchers from industry and academia who are working on positive social impact in accordance with priorities outlined in the Sustainable Development Goals (SDGs). The workshop targets practitioners of knowledge graphs methods, related domain SMEs, and anyone working to leverage knowledge graphs for social good. We are proposing an applied research-based workshop that will show how businesses, social scientists, the public sector and academia use knowledge graphs to have a positive social impact. The efforts include various kinds of problems they are solving, bottlenecks they have, and insights they are gathering. This workshop can also be an excellent place to identify and find projects/researchers for future collaboration.","Social Good, Sustainable Development Goals, Semantics, Semantic Graph",,,,,
,William Van Woensel,Second Workshop on Personal Health Knowledge Graphs,,,,,,,,
,Xian Li,AutoKnow: Self-Driving Knowledge Collection for Products of Thousands of Types,Amazon,"Can one build a knowledge graph (KG) for all products in the world? Knowledge graphs have firmly established themselves as valuable sources of information for search and question answering, and it is natural to wonder if a KG can contain information about products offered at online retail sites. There have been several successful examples of generic KGs, but organizing information about products poses many additional challenges, including sparsity and noise of structured data for products, complexity of the domain with millions of product types and thousands of attributes, heterogeneity across a large number of categories, as well as large and constantly growing number of products. We present AutoKnow, our automatic (self-driving) system that addresses these challenges. The system includes a suite of novel techniques for taxonomy construction, product property identification, knowledge extraction, anomaly detection, and synonym discovery. AutoKnow is (a) automatic, requiring little human intervention, (b) multi-scalable, scalable in multiple dimensions (many domains, many products, and many attributes), and (c) integrative, exploiting rich customer behavior logs. AutoKnow has been operational in collecting product knowledge for over 11K product types.","KG Search, Search & Question Answering, Auto Categorization, Multi Domain, Multi Attributes",,,,,
,Xin Luna Dong,Second Workshop on Personal Health Knowledge Graphs,,,,,,,,
,Ying Ding,Katana Graph Solutions: Scalable Graph Search and Graph Mining,Katana Graph,"When knowledge graphs in your company get larger and larger, a scalable graph search is in high demand. In the current graph search solutions, scalability is still a big issue. Furthermore, with the fast development of deep learning on graphs, many companies rely on deep learning methods to mine insights from the ever-increasing knowledge graphs. But search and mining are usually not available in one package. This presentation will showcase the scalable solutions from Katana Graph which provide the end-to-end solutions for graph search and mining. It is ten times faster than the current market solutions and scales exponentially on graphs with billions or even trillions of nodes. It provides weighted k-shorted path searches and cutting edge graph deep learning methods (such as cluster-graph convolutional neural network, graph attention model, and graph transformer). Katana Graph is a start-up company founded by several faculty from University of Texas at Austin with the goal to provide the scalable graph search and deep graph mining in one click. In this presentation, we will showcase several use cases, such as searching and mining large scale knowledge graphs in drug discovery","Scalable Graph Search, Deep Learning, Mine Insights, Katana Graph, Weighted K-shorted path search, convolutional neural network, graph attention model, graph transformer, drug discovery",,,,,
,,"Second Workshop on Personal Health Knowledge Graphs 
",,"Electronic health records (EHRs) have become a popular source of observational health data for learning insights that could inform the treatment of acute medical conditions. However, their utility for learning insights for informing preventive care and management of chronic conditions has remained limited. For this reason, the addition of social determinants of health (SDoH) [1] and “observations of daily living” (ODL) [2] to the EHR have been proposed. This combination of medical, social, behavioral, and lifestyle information about the patient is essential for allowing medical events to be understood in the context of one’s life and, conversely, allowing lifestyle choices to be considered jointly with one’s medical context. We propose that the personal health knowledge graph is a semantic representation of a patient’s combined medical records, SDoH, and ODLs that would be generated by both patients and their providers and be potentially useful to both for decision-making. While there are some initial efforts to clarify what personal knowledge graphs are [3] and how they may be made specific to health [4, 5], there is still much to be determined concerning how to operationalize and apply such a knowledge graph in life and clinical practice. There are challenges in collecting, managing, integrating, and analyzing the data required to populate the knowledge graph, maintaining, reasoning over, and sharing aspects of the knowledge graph. Following on the success of our inaugural workshop held at the Knowledge Graph Conference in 2020, in the second installment of this workshop, we aim to gather multiple stakeholders (health practitioners, health informaticists, knowledge engineers, and computer scientists) working on defining, building, consuming, and integrating personal health knowledge graphs. The workshop will focus on the challenges and opportunities in this nascent space with a strong focus on existing PHKG solutions.","Electronic Health Records, Social Determinants of Health, Observations of Daily Living, Personal Health Knowledge Graph, Data Integration, Data Profiling, Data Curation, Querying, Knowledge Discovery, Ontology Mapping, Machine Learning",,,,,
,,Workshop on Knowledge-infused Learning,,"Research in artificial intelligence and data science is accelerating rapidly due to an unprecedented explosion in the amount of information on the web [1,2]. In parallel, we noticed immense growth in research around Knowledge Graphs from industry and academia. Most focus of Knowledge Graphs has been on its construction, however, harnessing knowledge graphs/symbolic knowledge for end tasks is yet to be well explored. Particularly, integrating information from knowledge graphs with learning techniques for solving tasks. We call this “knowledge-infused learning” (KiL), an approach to encode knowledge for using it with deep learning. Knowledge Graphs are important in its use for neuro-symbolic AI [3,5,8]. In this changing world, retrospective studies for building state-of-the-art AI and Data science systems have raised concerns on trust, traceability, and interactivity for prospective applications in healthcare, finance, and crisis response [1,4].","AI, Data Science, Knowledge Infused Learning, Deep Learning, Neuro-Symbolic AI, Probabilistic Learning, Natural Language Processing, Reinforcement Learning, Virtual Assistants, Human-Computer Interaction, Commonsense Reasoning",,,,,
,Yuxuan Wang,Second Workshop on Personal Health Knowledge Graphs,,,,,,,,
,Zhamak Dehghani,Introduction to Data Mesh: A paradigm shift in managing analytical data,Thoughtworks,,,,,,,
